epoch,train_loss,train_acc,val_loss,val_acc
1,2.118765092174761,0.5441020191285866,0.9365993182384531,0.7382198952879581
2,0.5520934275182223,0.8584484590860786,0.6029951252862421,0.8293193717277487
3,0.3398780768026581,0.9058448459086078,0.5697813308909926,0.8408376963350785
4,0.22163654506269853,0.9404888416578109,0.469553846152041,0.8722513089005236
5,0.22151167402865402,0.936663124335813,0.4716443101304988,0.8722513089005236
6,0.16004450504255346,0.9540913921360255,0.38693095595424715,0.8858638743455497
7,0.1263214722069873,0.9642933049946865,0.36808032196853796,0.8994764397905759
8,0.12889470675926532,0.9664187035069075,0.3897871628169614,0.8858638743455497
9,0.11798082953685149,0.9642933049946865,0.5300426654790709,0.8649214659685864
10,0.11271864882374417,0.9681190223166843,0.38806144570180884,0.9015706806282723
