epoch,train_loss,train_acc,val_loss,val_acc
1,3.354307930831828,0.3980871413390011,1.655240373087179,0.7109947643979058
2,1.0422809202536767,0.8259298618490967,0.8927539052763535,0.7989528795811518
3,0.5614884669925151,0.897768331562168,0.7144679252389838,0.8272251308900523
4,0.3696796579391366,0.9315621679064825,0.6941976113469189,0.8240837696335078
5,0.26524896368336853,0.9519659936238045,0.6542902963947875,0.8272251308900523
6,0.22124361378733587,0.9560042507970244,0.650496166850884,0.8167539267015707
7,0.1754180448088205,0.9687566418703507,0.633296755439948,0.8240837696335078
8,0.14957707883447693,0.9708820403825718,0.6416190204195952,0.8230366492146597
9,0.12956686867410902,0.9730074388947928,0.6324251913275394,0.8219895287958116
10,0.12132176421780642,0.9778958554729011,0.6179021868406166,0.8240837696335078
