epoch,train_loss,train_acc,val_loss,val_acc
1,4.154200791856561,0.20765143464399574,2.926441067800472,0.4586387434554974
2,2.220987099719478,0.6340063761955367,1.7996198858890233,0.6774869109947644
3,1.4035389883992015,0.7791710945802338,1.3582271588410382,0.7549738219895288
4,1.0162185309163823,0.8414452709883103,1.1236273312443839,0.7832460732984293
5,0.7899196961227563,0.8807651434643996,1.0178512310482444,0.7895287958115184
6,0.645245406326148,0.8988310308182784,0.8986778997001847,0.8115183246073299
7,0.551352925356339,0.9117959617428267,0.8434695604583979,0.8020942408376963
8,0.47999409463783127,0.9209351753453773,0.8137489391871148,0.8230366492146597
9,0.4218222199540336,0.9343251859723698,0.788090585476441,0.8041884816753927
10,0.37390671769566797,0.9426142401700319,0.7740440713797564,0.8094240837696335
