epoch,train_loss,train_acc,val_loss,val_acc
1,2.937132929843493,0.39723698193411267,1.289770445524086,0.6701570680628273
2,0.9996049579981157,0.758979808714134,0.9647123145807476,0.7696335078534031
3,0.6636900462455628,0.834856535600425,0.9328662029735705,0.7476439790575916
4,0.5261982196195726,0.8652497343251859,0.7763152568752228,0.793717277486911
5,0.4397896416002328,0.8879914984059512,0.8187473023125015,0.7853403141361257
6,0.35933359112673685,0.9058448459086078,0.7357153674070748,0.812565445026178
7,0.33735331075224434,0.9177470775770457,0.7557384140204385,0.7968586387434555
8,0.2955369190759284,0.9249734325185972,0.815755588346751,0.793717277486911
9,0.28357085408870525,0.9247608926673752,0.7777643587576781,0.787434554973822
10,0.26297397154930674,0.936663124335813,0.7439447772440486,0.8115183246073299
